"Name","Address","Description","Latitude","Longitude"
"Tiny Superheroes","602 W Kirkham Ave, Webster Groves, MO 63119, USA","TinySuperheroes is a superhero cape company with a big mission to empower extraordinary kids as they overcome illness or disability.",38.5953349,-90.3710655
"Riley's Organics","11939 Manchester Rd, Des Peres, MO, USA","Riley’s Organics makes human grade USDA-certified organic dog treats in order to provide the healthiest option for pet parents. Riley’s Organic dog treats provide consumers an option they can trust and that their dogs love.<br>",38.6023026,-90.4335861
"Sparo Health","911 Washington Avenue, St. Louis, MO, United States","<p>Sparo Health is transforming respiratory care. Its flagship product, Wing, is the first FDA-cleared, over-the-counter smartphone sensor + app for monitoring lung function—empowering people to proactively control respiratory conditions like asthma.</p>",38.6314422,-90.1931569
"CyberUp","CyberUp, 911 Washington Avenue, St. Louis, MO, USA","<p>CyberUp (formerly The Midwest Cyber Center) was created to increase the supply of cybersecurity professionals to meet the current and future demand of employers in the Midwest region. We offer earn-while-you-learn industry-specific certifications to under and unemployed individuals, transitioning veterans, and graduating college students graduating. Cybersecurity is not solely a government problem. Every business owner and citizen should actively participate and thoroughly understand their role. Our on-the-job training program equips you with the skills necessary to be tomorrow’s cyber professional.<br></p>",38.63144,-90.1931878
"Hive 44","1710 Fenpark Drive, Fenton, MO, United States","<p>Hive44 is a collaborative community that is revolutionizing the nature of work by how our members collaborate in big and small ways. Located in St. Louis County, Hive44 provides an innovative, quiet, and comfortable 5,000 sq ft workspace designed for business professionals, entrepreneurs and small businesses to succeed. It blends the best of both worlds – the work at home model to the portability of coffee shops into an environment that is fresh and energetic.<br></p>",38.539425,-90.448362
"Homeplan","","Homeplan enables you to put your home on autopilot with a personal home manager. From bill pay to maintenance, Homeplan assistants manage your entire home.<br>",38.6314422,-90.1931569
"Equine Smartbits","200 S Brentwood Blvd, Clayton, St. Louis, MO 63105, USA","Designed for equine professionals, Equine Smartbits can improve equine health and performance by giving owners and trainers a powerful and convenient tool which reads vital signs in real time and eliminates the need for other inconvenient and time consuming methods of measuring vital signs—including temperature, heart rate, and blood oxygen saturation.<br><p></p>",38.64741,-90.3413448
"Boeing Ventures","CIC St. Louis, 4240 Duncan Avenue, St. Louis, MO, United States","Boeing Defense, Space & Security's start-up arm, Boeing Ventures, employs about  20 full-time employees at its Cortex location. Boeing began Ventures in an effort to grow business outside its expertise in airplane and defense production.</p><p><a href='https://twitter.com/Boeing target='_blank'>Twitter</a><br><a href='https://www.facebook.com/boeingstore target='_blank'>Facebook</a></p>",38.6350619,-90.2517044
"STL FlipZone For Growing Ventures","4633 World Parkway Circle, Berkeley, MO, United States","University of Missouri – St. Louis and Gateway Venture Mentoring Service have collaborated to provide an agile and flexible peer-based and expert-built training program to help established ventures grow. Our program uses strategic processes designed by expert consultants to help them achieve scale with their current knowledge, skills and growth plans.

FlipZone is a means to help ventures map their plans to achieve scale.",38.7289648,-90.3347193
"Sketch","930 Kehrs Mill Road, Ballwin, MO, United States","Our Sketchpad location is a multi-functional technology center.  

Sketch is a provider of custom software development and development coaching.  

Located on the 2nd floor of ""The Barn at Lucerne"".<p></p><p><a href=""https://twitter.com/sketchstl target="" _blank'="""">Twitter</a><br><a href=""https://www.linkedin.com/company/10516378?trk=prof-exp-company-name target="" _blank'="""">Linkedin</a></p><br><a href=""http://sketchdev.io/blog/ target="" _blank'="""">Job Openings</a><p></p>",38.6060111,-90.5654962
"BenMedica","1100 Corporate Square Drive, Creve Coeur, MO 63132, United States","<p>BenMedica improves electronic healthcare communication by partnering with payers (pharmacy benefit managers and health plans) to take advantage of real-time connectivity between electronic medical record systems used by prescribers and the patient/member plan designs supported by payer adjudication systems.</p>",38.6800749151397,-90.4008981282228
"Missouri Technology Corporation","301 West High Street, Jefferson City, MO, United States","The Missouri Technology Corporation is a public-private partnership created by the Missouri General Assembly to promote entrepreneurship and foster the growth of new and emerging high-tech companies.  MTC focuses on 21st Century bioscience industries that build on Missouri's rich history in agriculture.</p><p><a href='https://twitter.com/MoTechCorp target='_blank'>Twitter</a>",38.5788439,-92.17629
"Geneoscopy","20 South Sarah Street, Saint Louis, MO 63108, United States","<p>Geneoscopy is developing a noninvasive, stool-based, preventive screening test to diagnose and treat colorectal cancer (CRC) in high-risk individuals with a methodology that is more accurate than a colonoscopy.</p>",38.6362117,-90.2467661
"Smashtoast fix","911 Washington Avenue, St. Louis, MO, United States","SmashToast is the creator of PUCK. Attach Puck on or near your TV, Soundbar, curtains, or any other IR remote-controlled device* and download the free iOS app to free yourself from the burden of traditional remotes.",38.6314422,-90.1931569
"Thompson Street Capital Partners","120 South Central Avenue, Clayton, St. Louis County, MO, United States","<p>Thompson Street Capital Partners (TSCP) is a St. Louis-based private equity firm focused on investing in founder-led middle-market businesses. Since inception in 2000, TSCP has acquired more than 150 companies in the Healthcare &amp; Life Science Services, Software &amp; Technology Services and Business Services &amp; Engineered Products sectors and have managed more than $2.6 billion since being founded in 2000. TSCP partners with management teams to increase value by accelerating growth, both organically and via complementary acquisitions.</p>",38.647948,-90.3378696
